anexo,rbt12_de,rbt12_ate,aliquota,parcela_deduzir
I,0,180000,0.04,0
I,180000.01,360000,0.073,5940
I,360000.01,720000,0.095,13860
I,720000.01,1800000,0.107,22500
I,1800000.01,3600000,0.143,87300
I,3600000.01,4800000,0.19,378000
II,0,180000,0.045,0
II,180000.01,360000,0.078,5940
II,360000.01,720000,0.10,13860
II,720000.01,1800000,0.112,22500
II,1800000.01,3600000,0.147,85500
II,3600000.01,4800000,0.30,720000
III,0,180000,0.06,0
III,180000.01,360000,0.112,9360
III,360000.01,720000,0.135,17640
III,720000.01,1800000,0.16,35640
III,1800000.01,3600000,0.21,125640
III,3600000.01,4800000,0.33,648000
IV,0,180000,0.045,0
IV,180000.01,360000,0.09,8100
IV,360000.01,720000,0.102,12420
IV,720000.01,1800000,0.14,39780
IV,1800000.01,3600000,0.22,183780
IV,3600000.01,4800000,0.33,828000
V,0,180000,0.155,0
V,180000.01,360000,0.18,4500
V,360000.01,720000,0.195,9900
V,720000.01,1800000,0.205,17100
V,1800000.01,3600000,0.23,62100
V,3600000.01,4800000,0.305,540000
